route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
88,10,А48,Аеропорт  - вул. Б.Хмельницького,,3,,556b2f,
90,52,А01,Галицьке перехрестя - пл. Галицька,,3,,556b2f,
91,52,Н-А01,Залізничний вокзал - пл. Різні - вул. Хмельницького,,3,,556b2f,FFFFFF
92,52,А02,Городоцька - Університет,,3,,556b2f,FFFFFF
93,52,Н-А02,Метро - Зал. вокзал - пл. Різні,,3,,556b2f,FFFFFF
94,52,А03,ТРЦ Кінг Кросс - пл. Різні,,3,,556b2f,
95,52,Н-А03,ТЦ Кінг Крос - пл. Різні - Залізничний вокзал,,3,,556b2f,
96,52,А04,пр. Червоної Калини - пл. Різні,,3,,556b2f,
97,52,Н-А04,пр. Червоної Калини - Центр - Залізничний вокзал,,3,,556b2f,
101,52,Н-А06,Величковського - пл. Різні,,3,,556b2f,
102,31,А07,вул. Грінченка - вул. Скрипника,,3,,556b2f,
103,52,Н-А07,вул. Симоненка - пл. Різні,,3,,556b2f,
104,31,А08,пл. Св. Теодора - с. Брюховичі вул. Івасюка,,3,,556b2f,
105,52,А09,Максимовича - Муроване,,3,,556b2f,
106,52,А10,ТРЦ Кінг Кросс - Залізничний вокзал,,3,,556b2f,
107,31,А35,вул. Трильовського - вул. Польова,,3,,556b2f,FFFFFF
108,31,А11,пр. Червоної Калини - вул. Величковського,,3,,556b2f,FFFFFF
109,31,А12,вул. Величковського - вул. Щурата,,3,,556b2f,
110,31,А14,"Антонича - ТЦ ""Метро""",,3,,556b2f,
112,52,А16,Сихівська - Залізничний вокзал,,3,,556b2f,
113,32,А19,пр. Червоної Калини - Щурата,,3,,556b2f,
114,52,А20,Суботівська - Польова,,3,,556b2f,
115,32,А21,Епіцентр - Головна пошта,,3,,556b2f,
116,32,А23,вул. Суботівська - вул. Глинянський тракт,,3,,556b2f,
117,31,А25,"ТРЦ ""Кінг Кросс"" - Старознесенська",,3,,556b2f,
118,32,А26,Миколайчука - Антонича,,3,,556b2f,
119,31,А27,Скнилів - Личаківська АС-6,,3,,556b2f,
122,32,А31,Залізничний вокзал - Галицьке перехрестя,,3,,556b2f,
123,52,А32,пр. Червоної Калини - Залізничний вокзал,,3,,556b2f,
124,31,А33,Південний - Університет,,3,,556b2f,
126,52,А37,вул. Під Голоском - вул. Хоткевича,,3,,556b2f,
127,32,А38,Головна пошта - Пульмонологічний центр,,3,,556b2f,
128,31,А40,ТЦ Kінг Кросс - Винники,,3,,000000,FFFFFF
129,32,А42,пр. Червоної Калини - пл. Кропивницького,,3,,556b2f,
